排名,电影名,描述,评分,总评论数
92,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...                            2012 / 丹麦 瑞典 / 剧情,9.0,126738人评价
93,告白,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...                            2010 / 日本 / 剧情 惊悚,8.7,341623人评价
94,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...                            1987 / 意大利 中国大陆 英国 法国 / 剧情 传记 历史,8.9,164089人评价
95,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...                            2014 / 美国 德国 英国 / 剧情 喜剧,8.7,307028人评价
96,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...                            2003 / 美国 / 动作 冒险 奇幻,8.6,342133人评价
97,断背山,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,8.6,317053人评价
98,爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...                            1995 / 美国 奥地利 瑞士 / 剧情 爱情,8.7,218932人评价
99,摩登时代,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...                            1936 / 美国 / 喜剧 剧情 爱情,9.2,87631人评价
100,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...                            2002 / 美国 加拿大 / 传记 犯罪 剧情,8.7,221647人评价
101,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...                            2009 / 美国 英国 / 动作 冒险 奇幻 科幻,8.6,526276人评价
102,哈利·波特与魔法石,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint                            2001 / 美国 英国 / 奇幻 冒险,8.7,251252人评价
103,风之谷,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...                            1984 / 日本 / 科幻 动画 奇幻 冒险,8.8,175111人评价
104,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...                            2016 / 西班牙 / 犯罪 悬疑 惊悚,8.7,255631人评价
105,爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...                            2004 / 美国 / 剧情 爱情,8.7,197300人评价
106,穿条纹睡衣的男孩,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...                            2008 / 英国 美国 / 剧情 战争,8.9,142052人评价
107,侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...                            1995 / 日本 / 剧情 爱情 动画 音乐,8.8,166703人评价
108,萤火虫之墓,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子                            1988 / 日本 / 动画 剧情 战争,8.7,202318人评价
109,消失的爱人,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...                            2014 / 美国 / 剧情 犯罪 悬疑 惊悚,8.7,350648人评价
110,超脱,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...                            2011 / 美国 / 剧情,8.8,171039人评价
111,驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...                            2010 / 美国 / 喜剧 动画 奇幻 冒险 家庭,8.7,281868人评价
112,菊次郎的夏天,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...                            1999 / 日本 / 剧情 喜剧,8.7,179598人评价
113,倩女幽魂,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...                            1987 / 香港 / 剧情 爱情 武侠 古装,8.6,246667人评价
114,恐怖直播,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...                            2013 / 韩国 / 剧情 犯罪 悬疑,8.7,215832人评价
115,幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...                            2004 / 美国 / 喜剧 剧情 爱情,8.6,223355人评价
116,海洋,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...                            2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片,9.0,98555人评价
117,红辣椒,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...                            2006 / 日本 / 动画 悬疑 科幻 惊悚,8.9,131033人评价
118,七武士,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...                            1954 / 日本 / 动作 冒险 剧情,9.2,76519人评价
119,岁月神偷,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...                            2010 / 香港 中国大陆 / 剧情 家庭,8.6,304661人评价
120,神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...                            2010 / 美国 法国 / 喜剧 动画 冒险,8.5,370480人评价
121,借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...                            2010 / 日本 / 动画 奇幻 冒险,8.7,213862人评价
122,电锯惊魂,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...                            2004 / 美国 / 悬疑 惊悚 恐怖,8.7,196917人评价
123,谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...                            2007 / 美国 德国 / 动作 悬疑 惊悚,8.7,178801人评价
124,杀人回忆,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...                            2003 / 韩国 / 犯罪 剧情 悬疑 惊悚,8.6,207216人评价
125,真爱至上,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...                            2003 / 英国 美国 法国 / 喜剧 剧情 爱情,8.5,305025人评价
126,贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...                            2008 / 英国 美国 / 剧情 爱情,8.5,392667人评价
127,雨人,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...                            1988 / 美国 / 剧情,8.6,208095人评价
128,燃情岁月,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...                            1994 / 美国 / 剧情 爱情 西部 家庭,8.7,147813人评价
